mechanism_family,policy,n_trials,utility,recovered,cost,harm,unsafe_event,abstain_event,oracle_regret
burst_attenuation,end_to_end,32,-0.8734375,0.0,15.0,0.09375,0.09375,0.0,0.8109375
burst_attenuation,greedy_expected_gain,32,-0.475,0.0,7.5,0.0,0.0,0.0,0.4125
burst_attenuation,oracle,32,-0.06250000000000001,0.0,1.0,0.0,0.0,0.0,0.0
burst_attenuation,qrtc,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burst_attenuation,qrtc_untyped,32,-0.475,0.0,7.5,0.0,0.0,0.0,0.4125
burst_attenuation,random,32,-0.5398437500000001,0.0,8.796875,0.0,0.0,0.0,0.47734375
clock_drift,end_to_end,32,0.7743749999999999,1.0,3.84375,0.03125,0.03125,0.0,0.11578125000000007
clock_drift,greedy_expected_gain,32,0.89015625,1.0,1.734375,0.0,0.0,0.0,0.0
clock_drift,oracle,32,0.89015625,1.0,1.734375,0.0,0.0,0.0,0.0
clock_drift,qrtc,32,0.0,0.0,0.0,0.0,0.0,0.0,0.89015625
clock_drift,qrtc_untyped,32,0.89015625,1.0,1.734375,0.0,0.0,0.0,0.0
clock_drift,random,32,0.70109375,0.9375,3.578125,0.0625,0.0625,0.0,0.18906250000000002
gain_dropout,end_to_end,32,0.798125,1.0,3.5625,0.0,0.0,0.0,0.0
gain_dropout,greedy_expected_gain,32,-0.475,0.0,7.5,0.0,0.0,0.0,1.2731249999999998
gain_dropout,oracle,32,0.798125,1.0,3.5625,0.0,0.0,0.0,0.0
gain_dropout,qrtc,32,0.0,0.0,0.0,0.0,0.0,0.0,0.798125
gain_dropout,qrtc_untyped,32,-0.475,0.0,7.5,0.0,0.0,0.0,1.2731249999999998
gain_dropout,random,32,0.5120312499999999,0.8125,4.984375,0.0,0.0,0.0,0.29
phase_coupling,end_to_end,32,0.7875,1.0,3.75,0.0,0.0,0.0,0.0
phase_coupling,greedy_expected_gain,32,-0.475,0.0,7.5,0.0,0.0,0.0,1.2625
phase_coupling,oracle,32,0.7875,1.0,3.75,0.0,0.0,0.0,0.0
phase_coupling,qrtc,32,0.0,0.0,0.0,0.0,0.0,0.0,0.7875
phase_coupling,qrtc_untyped,32,-0.475,0.0,7.5,0.0,0.0,0.0,1.2625
phase_coupling,random,32,0.40765625,0.75,5.609375,0.0,0.0,0.0,0.38484375
