trial_id,split,seed,criterion,pair_name,relation_type,severity,noise,fault_1_stage,fault_1_distinction,fault_1_severity,fault_2_stage,fault_2_distinction,fault_2_severity,policy,first_action,action_sequence,recovered,task_loss_before,task_loss_after,intervention_cost,harm,utility,oracle_sequence,oracle_utility,confidence,abstained,early_stop_position
development:401:FG+FW:strict_masking:0.25:0.00:0:qrtc,development,401,pi_1,FG+FW,strict_masking,0.25,0.0,G,b,0.25,W,h,0.25,qrtc,rG,"rG,rW",True,1.25,0.2,7.0,0.0,0.6499999999999999,"rG,rW",0.6499999999999999,0.95,False,2
development:401:FG+FW:strict_masking:0.25:0.00:0:random,development,401,pi_1,FG+FW,strict_masking,0.25,0.0,G,b,0.25,W,h,0.25,random,rB,rB,False,1.25,0.65,4.0,1.0,-0.45,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.25:0.00:0:cheapest_first,development,401,pi_1,FG+FW,strict_masking,0.25,0.0,G,b,0.25,W,h,0.25,cheapest_first,rJ,rJ,False,1.25,0.65,1.0,1.0,-0.3,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.25:0.00:0:highest_stage_posterior,development,401,pi_1,FG+FW,strict_masking,0.25,0.0,G,b,0.25,W,h,0.25,highest_stage_posterior,rG,rG,False,1.25,0.65,5.0,1.0,-0.5,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.25:0.00:0:greedy_gain,development,401,pi_1,FG+FW,strict_masking,0.25,0.0,G,b,0.25,W,h,0.25,greedy_gain,rG,"rG,rW",True,1.25,0.2,7.0,0.0,0.6499999999999999,"rG,rW",0.6499999999999999,0.45,False,2
development:401:FG+FW:strict_masking:0.25:0.00:0:end_to_end,development,401,pi_1,FG+FW,strict_masking,0.25,0.0,G,b,0.25,W,h,0.25,end_to_end,rW,rW,False,1.25,0.65,2.0,1.0,-0.35,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.25:0.00:0:oracle,development,401,pi_1,FG+FW,strict_masking,0.25,0.0,G,b,0.25,W,h,0.25,oracle,rG,"rG,rW",True,1.25,0.2,7.0,0.0,0.6499999999999999,"rG,rW",0.6499999999999999,0.55,False,2
development:401:FG+FW:strict_masking:0.25:0.05:0:qrtc,development,401,pi_1,FG+FW,strict_masking,0.25,0.05,G,b,0.25,W,h,0.25,qrtc,rG,"rG,rW",True,1.3,0.2,7.0,0.0,0.6499999999999999,"rG,rW",0.6499999999999999,0.95,False,2
development:401:FG+FW:strict_masking:0.25:0.05:0:random,development,401,pi_1,FG+FW,strict_masking,0.25,0.05,G,b,0.25,W,h,0.25,random,rW,rW,False,1.3,0.665,2.0,1.0,-0.35,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.25:0.05:0:cheapest_first,development,401,pi_1,FG+FW,strict_masking,0.25,0.05,G,b,0.25,W,h,0.25,cheapest_first,rJ,rJ,False,1.3,0.665,1.0,1.0,-0.3,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.25:0.05:0:highest_stage_posterior,development,401,pi_1,FG+FW,strict_masking,0.25,0.05,G,b,0.25,W,h,0.25,highest_stage_posterior,rG,rG,False,1.3,0.665,5.0,1.0,-0.5,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.25:0.05:0:greedy_gain,development,401,pi_1,FG+FW,strict_masking,0.25,0.05,G,b,0.25,W,h,0.25,greedy_gain,rG,"rG,rW",True,1.3,0.2,7.0,0.0,0.6499999999999999,"rG,rW",0.6499999999999999,0.45,False,2
development:401:FG+FW:strict_masking:0.25:0.05:0:end_to_end,development,401,pi_1,FG+FW,strict_masking,0.25,0.05,G,b,0.25,W,h,0.25,end_to_end,rW,rW,False,1.3,0.665,2.0,1.0,-0.35,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.25:0.05:0:oracle,development,401,pi_1,FG+FW,strict_masking,0.25,0.05,G,b,0.25,W,h,0.25,oracle,rG,"rG,rW",True,1.3,0.2,7.0,0.0,0.6499999999999999,"rG,rW",0.6499999999999999,0.55,False,2
development:401:FG+FW:strict_masking:0.25:0.10:0:qrtc,development,401,pi_1,FG+FW,strict_masking,0.25,0.1,G,b,0.25,W,h,0.25,qrtc,rG,"rG,rW",True,1.35,0.2,7.0,0.0,0.6499999999999999,"rG,rW",0.6499999999999999,0.95,False,2
development:401:FG+FW:strict_masking:0.25:0.10:0:random,development,401,pi_1,FG+FW,strict_masking,0.25,0.1,G,b,0.25,W,h,0.25,random,rB,rB,False,1.35,0.68,4.0,1.0,-0.45,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.25:0.10:0:cheapest_first,development,401,pi_1,FG+FW,strict_masking,0.25,0.1,G,b,0.25,W,h,0.25,cheapest_first,rJ,rJ,False,1.35,0.68,1.0,1.0,-0.3,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.25:0.10:0:highest_stage_posterior,development,401,pi_1,FG+FW,strict_masking,0.25,0.1,G,b,0.25,W,h,0.25,highest_stage_posterior,rG,rG,False,1.35,0.68,5.0,1.0,-0.5,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.25:0.10:0:greedy_gain,development,401,pi_1,FG+FW,strict_masking,0.25,0.1,G,b,0.25,W,h,0.25,greedy_gain,rG,"rG,rW",True,1.35,0.2,7.0,0.0,0.6499999999999999,"rG,rW",0.6499999999999999,0.45,False,2
development:401:FG+FW:strict_masking:0.25:0.10:0:end_to_end,development,401,pi_1,FG+FW,strict_masking,0.25,0.1,G,b,0.25,W,h,0.25,end_to_end,rW,rW,False,1.35,0.68,2.0,1.0,-0.35,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.25:0.10:0:oracle,development,401,pi_1,FG+FW,strict_masking,0.25,0.1,G,b,0.25,W,h,0.25,oracle,rG,"rG,rW",True,1.35,0.2,7.0,0.0,0.6499999999999999,"rG,rW",0.6499999999999999,0.55,False,2
development:401:FG+FW:strict_masking:0.25:0.20:0:qrtc,development,401,pi_1,FG+FW,strict_masking,0.25,0.2,G,b,0.25,W,h,0.25,qrtc,rG,"rG,rW",True,1.45,0.2,7.0,0.0,0.6499999999999999,"rG,rW",0.6499999999999999,0.95,False,2
development:401:FG+FW:strict_masking:0.25:0.20:0:random,development,401,pi_1,FG+FW,strict_masking,0.25,0.2,G,b,0.25,W,h,0.25,random,rR,rR,False,1.45,0.71,4.0,1.0,-0.45,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.25:0.20:0:cheapest_first,development,401,pi_1,FG+FW,strict_masking,0.25,0.2,G,b,0.25,W,h,0.25,cheapest_first,rJ,rJ,False,1.45,0.71,1.0,1.0,-0.3,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.25:0.20:0:highest_stage_posterior,development,401,pi_1,FG+FW,strict_masking,0.25,0.2,G,b,0.25,W,h,0.25,highest_stage_posterior,rG,rG,False,1.45,0.71,5.0,1.0,-0.5,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.25:0.20:0:greedy_gain,development,401,pi_1,FG+FW,strict_masking,0.25,0.2,G,b,0.25,W,h,0.25,greedy_gain,rG,"rG,rW",True,1.45,0.2,7.0,0.0,0.6499999999999999,"rG,rW",0.6499999999999999,0.45,False,2
development:401:FG+FW:strict_masking:0.25:0.20:0:end_to_end,development,401,pi_1,FG+FW,strict_masking,0.25,0.2,G,b,0.25,W,h,0.25,end_to_end,rW,rW,False,1.45,0.71,2.0,1.0,-0.35,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.25:0.20:0:oracle,development,401,pi_1,FG+FW,strict_masking,0.25,0.2,G,b,0.25,W,h,0.25,oracle,rG,"rG,rW",True,1.45,0.2,7.0,0.0,0.6499999999999999,"rG,rW",0.6499999999999999,0.55,False,2
