policy,noise,recovery_rate
qrtc,0.0,0.6586327782646801
qrtc,0.05,0.647463456577816
qrtc,0.1,0.6491379310344828
qrtc,0.2,0.6516608391608392
qrtc_no_abstention,0.0,0.3409290096406661
qrtc_no_abstention,0.05,0.3422184006878762
qrtc_no_abstention,0.1,0.3375
qrtc_no_abstention,0.2,0.34047202797202797
qrtc_untyped,0.0,0.4723926380368098
qrtc_untyped,0.05,0.471195184866724
qrtc_untyped,0.1,0.4676724137931034
qrtc_untyped,0.2,0.47202797202797203
greedy_gain,0.0,0.3409290096406661
greedy_gain,0.05,0.3422184006878762
greedy_gain,0.1,0.3375
greedy_gain,0.2,0.34047202797202797
end_to_end,0.0,0.5219106047326906
end_to_end,0.05,0.5154772141014617
end_to_end,0.1,0.5120689655172413
end_to_end,0.2,0.520541958041958
highest_stage_posterior,0.0,0.3409290096406661
highest_stage_posterior,0.05,0.3422184006878762
highest_stage_posterior,0.1,0.3375
highest_stage_posterior,0.2,0.34047202797202797
cheapest_first,0.0,0.1450482033304119
cheapest_first,0.05,0.15047291487532244
cheapest_first,0.1,0.12241379310344827
cheapest_first,0.2,0.13854895104895104
random,0.0,0.11393514460999124
random,0.05,0.11865864144453998
random,0.1,0.11163793103448276
random,0.2,0.11276223776223776
oracle,0.0,0.677475898334794
oracle,0.05,0.6646603611349957
oracle,0.1,0.6676724137931035
oracle,0.2,0.6726398601398601
