policy,unknown_score,evidence_requested,evidence_useful,unsafe_commitment
qrtc,0.95,True,True,0
qrtc_no_abstention,0.65,False,False,0
qrtc_untyped,0.95,True,True,0
greedy_gain,0.65,False,False,1
end_to_end,0.65,False,False,1
highest_stage_posterior,0.65,False,False,0
cheapest_first,0.65,False,False,0
random,0.65,False,False,0
oracle,0.65,False,False,0
qrtc,0.95,True,True,0
qrtc_no_abstention,0.65,False,False,0
qrtc_untyped,0.95,True,True,0
greedy_gain,0.65,False,False,1
end_to_end,0.65,False,False,1
highest_stage_posterior,0.65,False,False,0
cheapest_first,0.65,False,False,0
random,0.65,False,False,0
oracle,0.65,False,False,0
qrtc,0.95,True,True,0
qrtc_no_abstention,0.65,False,False,0
qrtc_untyped,0.95,True,True,0
greedy_gain,0.65,False,False,1
end_to_end,0.65,False,False,1
highest_stage_posterior,0.65,False,False,0
cheapest_first,0.65,False,False,0
random,0.95,True,True,0
oracle,0.65,False,False,0
qrtc,0.95,True,True,0
qrtc_no_abstention,0.65,False,False,0
qrtc_untyped,0.95,True,True,0
greedy_gain,0.65,False,False,1
end_to_end,0.65,False,False,1
highest_stage_posterior,0.65,False,False,0
cheapest_first,0.65,False,False,0
random,0.65,False,False,1
oracle,0.65,False,False,0
qrtc,0.95,True,True,0
qrtc_no_abstention,0.65,False,False,0
qrtc_untyped,0.95,True,True,0
greedy_gain,0.65,False,False,1
end_to_end,0.65,False,False,1
highest_stage_posterior,0.65,False,False,0
cheapest_first,0.65,False,False,0
random,0.65,False,False,1
oracle,0.65,False,False,0
qrtc,0.95,True,True,0
qrtc_no_abstention,0.65,False,False,0
qrtc_untyped,0.95,True,True,0
greedy_gain,0.65,False,False,1
end_to_end,0.65,False,False,1
highest_stage_posterior,0.65,False,False,0
cheapest_first,0.65,False,False,0
random,0.65,False,False,0
oracle,0.65,False,False,0
qrtc,0.95,True,True,0
qrtc_no_abstention,0.65,False,False,0
qrtc_untyped,0.95,True,True,0
greedy_gain,0.65,False,False,1
end_to_end,0.65,False,False,1
highest_stage_posterior,0.65,False,False,0
cheapest_first,0.65,False,False,0
random,0.65,False,False,1
oracle,0.65,False,False,0
qrtc,0.95,True,True,0
qrtc_no_abstention,0.65,False,False,0
qrtc_untyped,0.95,True,True,0
greedy_gain,0.65,False,False,1
end_to_end,0.65,False,False,1
highest_stage_posterior,0.65,False,False,0
cheapest_first,0.65,False,False,0
random,0.65,False,False,0
oracle,0.65,False,False,0
qrtc,0.95,True,True,0
qrtc_no_abstention,0.65,False,False,0
qrtc_untyped,0.95,True,True,0
greedy_gain,0.65,False,False,1
end_to_end,0.65,False,False,1
highest_stage_posterior,0.65,False,False,0
cheapest_first,0.65,False,False,0
random,0.65,False,False,1
oracle,0.65,False,False,0
qrtc,0.95,True,True,0
qrtc_no_abstention,0.65,False,False,0
qrtc_untyped,0.95,True,True,0
greedy_gain,0.65,False,False,1
end_to_end,0.65,False,False,1
highest_stage_posterior,0.65,False,False,0
cheapest_first,0.65,False,False,0
random,0.65,False,False,1
oracle,0.65,False,False,0
qrtc,0.95,True,True,0
qrtc_no_abstention,0.65,False,False,0
qrtc_untyped,0.95,True,True,0
greedy_gain,0.65,False,False,1
end_to_end,0.65,False,False,1
highest_stage_posterior,0.65,False,False,0
cheapest_first,0.65,False,False,0
random,0.65,False,False,1
oracle,0.65,False,False,0
qrtc,0.95,True,True,0
qrtc_no_abstention,0.65,False,False,0
qrtc_untyped,0.95,True,True,0
greedy_gain,0.65,False,False,1
end_to_end,0.65,False,False,1
highest_stage_posterior,0.65,False,False,0
cheapest_first,0.65,False,False,0
random,0.65,False,False,1
oracle,0.65,False,False,0
qrtc,0.95,True,True,0
qrtc_no_abstention,0.65,False,False,0
qrtc_untyped,0.95,True,True,0
greedy_gain,0.65,False,False,1
end_to_end,0.65,False,False,1
highest_stage_posterior,0.65,False,False,0
cheapest_first,0.65,False,False,0
random,0.65,False,False,0
oracle,0.65,False,False,0
qrtc,0.95,True,True,0
qrtc_no_abstention,0.65,False,False,0
qrtc_untyped,0.95,True,True,0
greedy_gain,0.65,False,False,1
end_to_end,0.65,False,False,1
highest_stage_posterior,0.65,False,False,0
cheapest_first,0.65,False,False,0
random,0.65,False,False,1
oracle,0.65,False,False,0
qrtc,0.95,True,True,0
qrtc_no_abstention,0.65,False,False,0
qrtc_untyped,0.95,True,True,0
greedy_gain,0.65,False,False,1
end_to_end,0.65,False,False,1
highest_stage_posterior,0.65,False,False,0
cheapest_first,0.65,False,False,0
random,0.65,False,False,0
oracle,0.65,False,False,0
qrtc,0.95,True,True,0
qrtc_no_abstention,0.65,False,False,0
qrtc_untyped,0.95,True,True,0
greedy_gain,0.65,False,False,1
end_to_end,0.65,False,False,1
highest_stage_posterior,0.65,False,False,0
cheapest_first,0.65,False,False,0
random,0.65,False,False,1
oracle,0.65,False,False,0
qrtc,0.95,True,True,0
qrtc_no_abstention,0.65,False,False,0
qrtc_untyped,0.95,True,True,0
greedy_gain,0.65,False,False,1
end_to_end,0.65,False,False,1
highest_stage_posterior,0.65,False,False,0
cheapest_first,0.65,False,False,0
random,0.65,False,False,1
oracle,0.65,False,False,0
qrtc,0.95,True,True,0
qrtc_no_abstention,0.65,False,False,0
qrtc_untyped,0.95,True,True,0
greedy_gain,0.65,False,False,1
end_to_end,0.65,False,False,1
highest_stage_posterior,0.65,False,False,0
cheapest_first,0.65,False,False,0
random,0.65,False,False,0
oracle,0.65,False,False,0
qrtc,0.95,True,True,0
qrtc_no_abstention,0.65,False,False,0
qrtc_untyped,0.95,True,True,0
greedy_gain,0.65,False,False,1
end_to_end,0.65,False,False,1
highest_stage_posterior,0.65,False,False,0
cheapest_first,0.65,False,False,0
random,0.65,False,False,1
oracle,0.65,False,False,0
qrtc,0.95,True,True,0
qrtc_no_abstention,0.65,False,False,0
qrtc_untyped,0.95,True,True,0
greedy_gain,0.65,False,False,1
end_to_end,0.65,False,False,1
highest_stage_posterior,0.65,False,False,0
cheapest_first,0.65,False,False,0
random,0.65,False,False,0
oracle,0.65,False,False,0
qrtc,0.95,True,True,0
qrtc_no_abstention,0.65,False,False,0
qrtc_untyped,0.95,True,True,0
greedy_gain,0.65,False,False,1
end_to_end,0.65,False,False,1
highest_stage_posterior,0.65,False,False,0
cheapest_first,0.65,False,False,0
random,0.65,False,False,1
oracle,0.65,False,False,0
qrtc,0.95,True,True,0
qrtc_no_abstention,0.65,False,False,0
qrtc_untyped,0.95,True,True,0
greedy_gain,0.65,False,False,1
end_to_end,0.65,False,False,1
highest_stage_posterior,0.65,False,False,0
cheapest_first,0.65,False,False,0
random,0.95,True,True,0
oracle,0.65,False,False,0
qrtc,0.95,True,True,0
qrtc_no_abstention,0.65,False,False,0
qrtc_untyped,0.95,True,True,0
greedy_gain,0.65,False,False,1
end_to_end,0.65,False,False,1
highest_stage_posterior,0.65,False,False,0
cheapest_first,0.65,False,False,0
random,0.65,False,False,1
oracle,0.65,False,False,0
qrtc,0.95,True,True,0
qrtc_no_abstention,0.65,False,False,0
qrtc_untyped,0.95,True,True,0
greedy_gain,0.65,False,False,1
end_to_end,0.65,False,False,1
highest_stage_posterior,0.65,False,False,0
cheapest_first,0.65,False,False,0
random,0.65,False,False,0
oracle,0.65,False,False,0
qrtc,0.95,True,True,0
qrtc_no_abstention,0.65,False,False,0
qrtc_untyped,0.95,True,True,0
greedy_gain,0.65,False,False,1
end_to_end,0.65,False,False,1
highest_stage_posterior,0.65,False,False,0
cheapest_first,0.65,False,False,0
random,0.65,False,False,1
oracle,0.65,False,False,0
qrtc,0.95,True,True,0
qrtc_no_abstention,0.65,False,False,0
qrtc_untyped,0.95,True,True,0
greedy_gain,0.65,False,False,1
end_to_end,0.65,False,False,1
highest_stage_posterior,0.65,False,False,0
