Case_ID,Case Name,Bio,Env,Cog,Id,Sym,C,Φ,Q=C×Φ,Mode,Ω,Integration Type,I,Load,Tension,κ,Outcome,Out(t₀),Out(late),Template_Deficit,FR Risk,Rescue,Walls,Q_calc,Load_calc,Tension_calc,FR_rule,Rescue_rule,Q_ge_12_rule,Q_le_6_rule,Phi_eq_4_rule,Low_C_low_Phi_rule,PR_rule_candidate,Is_FR_t0,Is_FR_late,Is_CR_t0,Is_PR_t0,Is_Clean_CR_PR,Ext,Q_predicted,Tension_predicted,kappa_predicted,Regime_Predicted,Regime_Predicted_TwoLaws_Strict,Regime_Predicted_TwoLaws_Calibrated,Regime_Actual_Normalized,Regime_Predicted_Normalized,Match_Default,Regime_Predicted_TwoLaws_Strict_Normalized,Match_TwoLaws_Strict,Regime_Predicted_TwoLaws_Calibrated_Normalized,Match_TwoLaws_Calibrated,Match,Domain,Reboot_Quality,Q_rho,SC,CID,ECC,ID,CAC,Frag,z
1,Abraham Lincoln,2,2,3,4,3,4,4,16,N,B,Biological/Individual,4,14,10,1.0,MR,MR,MR,0,0,0,2,16,14,10,0,0,1,0,1,0,0,0,0,0,0,0,,16,-2,0.875,MR,CR,MR,MR,MR,True,CR,False,MR,True,True,atlas,1,0.8145725807070178,0.4,1.0,0.8,0.95,0.7,0.1,0.7400000000000001
2,Ada Lovelace,3,1,4,2,3,4,4,16,D,B,Biological/Individual,3,13,9,1.0,PR,PR,PR,0,0,0,2,16,13,9,0,0,1,0,1,0,1,0,0,0,1,1,,16,-3,0.8125,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,atlas,1,0.7426905453026857,0.6,1.0,0.6,0.95,0.1,0.4,0.53
3,Adam Smith,1,1,4,2,2,4,4,16,D,G,Growth/Global,3,10,6,1.0,PR,PR,PR,0,0,0,1,16,10,6,0,0,1,0,1,0,1,0,0,0,1,1,,16,-6,0.625,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,atlas,1,0.7426905453026857,0.6,1.0,0.6,0.95,0.1,0.4,0.53
4,Admiral James Stockdale,3,4,3,4,3,4,4,16,N,G,Growth/Global,4,17,13,1.0,MR,MR,MR,0,0,0,2,16,17,13,0,0,1,0,1,0,0,0,0,0,0,0,,16,1,1.0625,MR,CR,MR,MR,MR,True,CR,False,MR,True,True,atlas,1,0.804784519651317,0.4,0.9411764705882353,0.7,0.95,0.7,0.1,0.708235294117647
5,Akhenaten,1,2,2,4,4,3,3,9,V,J,Journey/Transmission,4,13,10,0.56,MR,MR,MR,0,0,0,1,9,13,10,0,0,0,0,0,0,0,0,0,0,0,0,4.0,9,4,1.444444444444444,MR,SR,MR,MR,MR,True,SR,False,MR,True,True,atlas,1,0.7952591619892629,0.4,0.6923076923076923,0.8,0.95,0.7,0.1,0.6784615384615386
6,Akira Kurosawa,2,2,3,4,3,3,4,12,T,L,Loss/Limitation,4,14,11,0.75,SR,SR,SR,0,0,0,2,12,14,11,0,0,1,0,1,0,0,0,0,0,0,0,,12,2,1.166666666666667,SR,MR,SR,SR,SR,True,MR,False,SR,True,True,atlas,1,0.8057859355516407,0.4,0.8571428571428571,0.8,0.95,0.7,0.1,0.7114285714285714
7,Alan Turing,3,2,4,3,2,4,3,12,T,B,Biological/Individual,3,14,10,0.75,PR,PR,PR,0,0,0,1,12,14,10,0,0,1,0,0,0,1,0,0,0,1,1,,12,2,1.166666666666667,PR,MR,PR,PR,PR,True,MR,False,PR,True,True,atlas,1,0.7316199560257679,0.6,0.8571428571428571,0.6,0.95,0.1,0.4,0.5014285714285714
8,Albert Einstein,1,1,4,2,3,4,4,16,D,B,Biological/Individual,3,11,7,1.0,PR,PR,PR,0,0,0,1,16,11,7,0,0,1,0,1,0,1,0,0,0,1,1,,16,-5,0.6875,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,atlas,1,0.7426905453026857,0.6,1.0,0.6,0.95,0.1,0.4,0.53
9,Aleksandr Solzhenitsyn,3,4,3,4,3,4,4,16,T,G,Growth/Global,4,17,13,1.0,MR,MR,MR,0,0,0,2,16,17,13,0,0,1,0,1,0,0,0,0,0,0,0,,16,1,1.0625,MR,CR,MR,MR,MR,True,CR,False,MR,True,True,atlas,1,0.804784519651317,0.4,0.9411764705882353,0.7,0.95,0.7,0.1,0.708235294117647
10,Alexander Fleming,1,1,4,2,2,4,4,16,D,G,Growth/Global,4,10,6,1.0,PR,PR,PR,0,0,0,1,16,10,6,0,0,1,0,1,0,1,0,0,0,1,1,,16,-6,0.625,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,atlas,1,0.7426905453026857,0.6,1.0,0.6,0.95,0.1,0.4,0.53
11,Alexander Hamilton,1,3,3,4,2,4,4,16,T,G,Growth/Global,4,13,9,1.0,MR,MR,MR,0,0,0,1,16,13,9,0,0,1,0,1,0,0,0,0,0,0,0,,16,-3,0.8125,MR,CR,MR,MR,MR,True,CR,False,MR,True,True,atlas,1,0.8145725807070178,0.4,1.0,0.8,0.95,0.7,0.1,0.7400000000000001
12,Alexander Pope,3,2,4,3,3,4,4,16,S,L,Loss/Limitation,3,15,11,1.0,PR,PR,PR,0,0,0,1,16,15,11,0,0,1,0,1,0,1,0,0,0,1,1,,16,-1,0.9375,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,atlas,1,0.7426905453026857,0.6,1.0,0.6,0.95,0.1,0.4,0.53
13,Alexander the Great,2,3,3,4,3,4,3,12,N,B,Biological/Individual,4,15,11,0.75,MR,MR,MR,0,0,0,1,12,15,11,0,0,1,0,0,0,0,0,0,0,0,0,,12,3,1.25,MR,MR,MR,MR,MR,True,MR,True,MR,True,True,atlas,1,0.8021838885585818,0.4,0.8,0.8,0.95,0.7,0.1,0.7000000000000001
14,Alfred North Whitehead,1,1,4,3,3,4,4,16,D,G,Growth/Global,3,12,8,1.0,PR,PR,PR,0,0,0,1,16,12,8,0,0,1,0,1,0,1,0,0,0,1,1,,16,-4,0.75,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,atlas,1,0.7426905453026857,0.6,1.0,0.6,0.95,0.1,0.4,0.53
15,Alfred Russel Wallace,3,3,4,2,3,4,4,16,D,G,Growth/Global,4,15,11,1.0,PR,PR,PR,0,0,0,2,16,15,11,0,0,1,0,1,0,1,0,0,0,1,1,,16,-1,0.9375,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,atlas,1,0.7426905453026857,0.6,1.0,0.6,0.95,0.1,0.4,0.53
