Case_ID,Case Name,Bio,Env,Cog,Id,Sym,C,Φ,Q=C×Φ,Mode,Ω,Integration Type,I,Load,Tension,κ,Outcome,Out(t₀),Out(late),Template_Deficit,FR Risk,Rescue,Walls,Q_calc,Load_calc,Tension_calc,FR_rule,Rescue_rule,Q_ge_12_rule,Q_le_6_rule,Phi_eq_4_rule,Low_C_low_Phi_rule,PR_rule_candidate,Is_FR_t0,Is_FR_late,Is_CR_t0,Is_PR_t0,Is_Clean_CR_PR,Ext,Q_predicted,Tension_predicted,kappa_predicted,Regime_Predicted,Regime_Predicted_TwoLaws_Strict,Regime_Predicted_TwoLaws_Calibrated,Regime_Actual_Normalized,Regime_Predicted_Normalized,Match_Default,Regime_Predicted_TwoLaws_Strict_Normalized,Match_TwoLaws_Strict,Regime_Predicted_TwoLaws_Calibrated_Normalized,Match_TwoLaws_Calibrated,Match,FED_Substrate_Viable,Reboot_Quality,Q_rho,SC_closure,SC_portability,CID,ECC,ID,CAC,Frag_pre,SC_x_CID,SC_x_CAC,z,CL,AV,DD,Noise_pre_raw,Clarity_post_ordinal,Clarity_post_binary,ΔG,Gate_Effect
1,Abraham Lincoln,2,2,3,4,3,4,4,16,N,B,Biological/Individual,4,14,10,1.0,MR,MR,MR,0,0,0,2,16,14,10,0,0,1,0,1,0,0,0,0,0,0,0,,16,-2,0.875,MR,CR,MR,MR,MR,True,CR,False,MR,True,True,1,1,0.9289469597929315,0.8555555555555555,0.5475,1.0,0.3,0.895,0.25,0.025,0.8555555555555555,0.5347222222222222,0.8568749999999999,1.0,0.0,0.0,1.0,1,0.0,1.7721983056991313,Clarified
2,Ada Lovelace,3,1,4,2,3,4,4,16,D,B,Biological/Individual,3,13,9,1.0,PR,PR,PR,0,0,0,2,16,13,9,0,0,1,0,1,0,1,0,0,0,1,1,,16,-3,0.8125,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,1,1,0.9306691040220662,0.8368421052631579,0.525,1.0,0.3,0.82,0.4,0.025,0.8368421052631579,0.5857894736842105,0.865671052631579,1.0,0.0,0.0,1.0,2,1.0,2.7721983056991313,Clarified
3,Adam Smith,1,1,4,2,2,4,4,16,D,G,Growth/Global,3,10,6,1.0,PR,PR,PR,0,0,0,1,16,10,6,0,0,1,0,1,0,1,0,0,0,1,1,,16,-6,0.625,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,1,1,0.9323480206896563,0.740909090909091,0.7175,1.0,0.4,0.76,0.4,0.0125,0.740909090909091,0.5186363636363637,0.8744431818181818,3.0,0.0,0.0,3.0,2,1.0,0.9442892728847625,Clarified
4,Admiral James Stockdale,3,4,3,4,3,4,4,16,N,G,Growth/Global,4,17,13,1.0,MR,MR,MR,0,0,0,2,16,17,13,0,0,1,0,1,0,0,0,0,0,0,0,,16,1,1.0625,MR,CR,MR,MR,MR,True,CR,False,MR,True,True,1,1,0.9336775387186524,0.8764705882352941,0.74,0.9411764705882353,0.3,0.895,0.25,0.025,0.8249134948096886,0.5477941176470589,0.881534169550173,0.0,0.0,0.0,0.0,1,0.0,2.6861528221063153,Clarified
5,Akhenaten,1,2,2,4,4,3,3,9,V,J,Journey/Transmission,4,13,10,0.56,MR,MR,MR,0,0,0,1,9,13,10,0,0,0,0,0,0,0,0,0,0,0,0,4.0,9,4,1.444444444444444,MR,SR,MR,MR,MR,True,SR,False,MR,True,True,1,1,0.9063289990297605,0.726923076923077,0.9075000000000001,0.6923076923076923,0.4,0.9099999999999999,0.07500000000000001,0.0125,0.5032544378698225,0.39072115384615386,0.7565379068047337,1.0,0.0,0.0,1.0,1,0.0,1.7721983056991313,Clarified
6,Akira Kurosawa,2,2,3,4,3,3,4,12,T,L,Loss/Limitation,4,14,11,0.75,SR,SR,SR,0,0,0,2,12,14,11,0,0,1,0,1,0,0,0,0,0,0,0,,12,2,1.166666666666667,SR,MR,SR,SR,SR,True,MR,False,SR,True,True,1,1,0.916820883854875,0.8428571428571429,0.5625,0.8571428571428571,0.3,0.8799999999999999,0.25,0.025,0.7224489795918367,0.5267857142857143,0.7999719387755102,1.0,0.0,0.0,1.0,3,0.0,3.7721983056991313,Clarified
7,Alan Turing,3,2,4,3,2,4,3,12,T,B,Biological/Individual,3,14,10,0.75,PR,PR,PR,0,0,0,1,12,14,10,0,0,1,0,0,0,1,0,0,0,1,1,,12,2,1.166666666666667,PR,MR,PR,PR,PR,True,MR,False,PR,True,True,1,1,0.9157390673375517,0.7928571428571429,0.46499999999999997,0.8571428571428571,0.4,0.8049999999999999,0.375,0.0125,0.6795918367346939,0.5450892857142857,0.7952710459183674,1.0,0.0,0.0,1.0,2,1.0,2.7721983056991313,Clarified
8,Albert Einstein,1,1,4,2,3,4,4,16,D,B,Biological/Individual,3,11,7,1.0,PR,PR,PR,0,0,0,1,16,11,7,0,0,1,0,1,0,1,0,0,0,1,1,,16,-5,0.6875,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,1,1,0.9258526463717645,0.7547619047619049,0.525,1.0,0.4,0.76,0.4,0.0125,0.7547619047619049,0.5283333333333333,0.8415535714285716,3.0,0.0,0.0,3.0,2,1.0,0.9442892728847625,Clarified
9,Aleksandr Solzhenitsyn,3,4,3,4,3,4,4,16,T,G,Growth/Global,4,17,13,1.0,MR,MR,MR,0,0,0,2,16,17,13,0,0,1,0,1,0,0,0,0,0,0,0,,16,1,1.0625,MR,CR,MR,MR,MR,True,CR,False,MR,True,True,1,1,0.9325069835893397,0.8764705882352941,0.72,0.9411764705882353,0.3,0.8799999999999999,0.25,0.025,0.8249134948096886,0.5477941176470589,0.875284169550173,0.0,0.0,0.0,0.0,1,0.0,2.6861528221063153,Clarified
10,Alexander Fleming,1,1,4,2,2,4,4,16,D,G,Growth/Global,4,10,6,1.0,PR,PR,PR,0,0,0,1,16,10,6,0,0,1,0,1,0,1,0,0,0,1,1,,16,-6,0.625,PR,CR,PR,PR,PR,True,CR,False,PR,True,True,1,1,0.936706036623394,0.740909090909091,0.78,1.0,0.4,0.8350000000000001,0.4,0.0125,0.740909090909091,0.5186363636363637,0.8981931818181818,3.0,0.0,0.0,3.0,2,1.0,0.9442892728847625,Clarified
